ORIGIN,FUNCTION_IN_ORIGIN,FUNCTION_AT_DESTINATION_1,FUNCTION_AT_DESTINATION_2,FUNCTION_AT_DESTINATION_3,Family,Subfamily,Activity description,Glycan_annotation,Substrate annotation taken from characterized enzyme description CAZy.org,dbCAN3_Substrate_curated,dbCAN3_Substrate_high_level,Agreement,Comments,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae",Structural,DF,NSP,"Hemicellulose,Cellulose",CBM28,CBM28,"cellulose binding; β-1,4-glucan and β-1,3-1,4-mixed linked glucans binding","beta-glucan,cellulose",yes,"non-crystalline cellulose, cellooligosaccharides, and beta-(1,3)(1,4)-glucans",cellulose,Largely agree,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,CBM29,CBM29,β-mannan binding; glucomannan binding,"beta-mannan,glucomannan",yes,"mannan,glucomannan",beta-mannan,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,Cellulose,CBM30,CBM30,cellulose binding,cellulose,yes,cellulose,cellulose,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,CBM31,CBM31,"β-1,3-xylan binding",xylan,yes,"beta-1,3-xylan",xylan,Largely agree,,,,,,,,,,,,,
"Plant,Animal","Structural,Other","DF,Mucin","NSP,Resistant_oligosaccharides","Pectin,Glycoprotein",CBM32,CBM32,"galactose and lactose binding; polygalacturonic acid binding; LacNAc (β-D-galactosyl-1,4-β-D-N-acetylglucosamine) binding","homogalacturonan,rhamnogalacturonan,human_milk_glycan,mucin_glycan",yes,"galactose, lactose, LacNAc",host glycan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,CBM34,CBM34,starch binding,starch,yes,granular starch,starch,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,"Mannans_and_Heteromannans,Hemicellulose",CBM35,CBM35,xylan binding; β-mannan binding; β-galactan binding,"xylan,galactan,beta-mannan",yes,"xylan,decorated soluble mannan and mannooligosaccharide,beta-galactan","xylan, beta-mannan, beta-galactan",Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,CBM36,CBM36,xylan binding; XOS binding,xylan,yes,xylan and xylooligosaccharide,xylan,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria,Animal,Fungi",Structural,DF,NSP,"Cellulose,Hemicellulose,Chitin",CBM37,CBM37,cellulose binding; chitin binding; xylan binding,"xylan,chitin,cellulose",yes,"xylan, chitin, microcrystalline and phosphoric-acid swollen cellulose, as well as more heterogeneous substrates, such as alfalfa cell walls, banana stem and wheat straw.","xylan, chitin, cellulose",Largely agree,,,,,,,,,,,,,
Plant,Storage,DF,NSP,Fructan,CBM38,CBM38,inulin binding,fructan,yes,inulin,fructan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,CBM39,CBM39,"β-1,3-glucan binding",beta-glucan,yes,"beta-1,3-glucan,lipopolysaccharide and lipoteichoic acid","beta-glucan,lipopolysaccharide",Largely agree,,,,,,,,,,,,,
"Animal,Bacteria,Algae",Unknown,Unknown,Unknown,Unknown,CBM40,CBM40,sialic acid binding,sialic_acid,yes,sialic acid,sialic acid,Largely agree,,,,,,,,,,,,,
"Fungi,Plant,Algae","Structural,Storage",DF,Resistant_starch,Amylose_and_Amylopectin,CBM41,CBM41,"amylose, amylopectin, pullulan binding","starch,pullulan",yes,"alpha-glucans amylose, amylopectin, pullulan, and oligosaccharide fragments derived from these polysaccharides",beta-glucan,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,CBM42,CBM42,arabinofuranose (arabinoxylan) binding,arabinoxylan,yes,arabinoxylan,xylan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,CBM43,CBM43,"β-1,3-glucan binding",beta-glucan,yes,"beta-1,3-glucan",beta-glucan,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,"Cellulose,Hemicellulose",CBM44,CBM44,cellulose binding; xyloglucan binding,"xyloglucan,cellulose",yes,cellulose and xyloglucan,"cellulose, xyloglucan",Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,CBM45,CBM45,starch binding; α-glucan binding,starch,yes,starch,starch,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,Cellulose,CBM46,CBM46,cellulose binding,cellulose,yes,cellulose,cellulose,Largely agree,,,,,,,,,,,,,
"Animal,Algae",Unknown,Unknown,Unknown,Unknown,CBM47,CBM47,fucose binding,fucosylated_glycan,yes,fucose,fucose,"Agree, in favor of neither and corrected to a better glycan category","fucoidan is not correct, fucan is. Maybe this category could be named ""fucan, fucoidan or other fucose-linked glycan""",,,,,,,,,,,,
"Animal,Fungi,Bacteria",Storage,Glycogen,Unknown,Unknown,CBM48,CBM48,glycogen-binding function,glycogen,yes,glycogen,glycogen,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,Cellulose,CBM49,CBM49,cellulose binding,cellulose,yes,crystalline cellulose,cellulose,Largely agree,,,,,,,,,,,,,
"Animal,Fungi,Bacteria",Structural,"DF,PG",PG,"PG,Chitin",CBM50,CBM50,chitin binding; peptidoglycan binding,"chitin,peptidoglycan",yes,chitin or peptidoglycan,"chitin, peptidoglycan",Largely agree,,,,,,,,,,,,,
Animal,Structural,Mucin,NSP,Glycoprotein,CBM51,CBM51,galactose binding; blood group A/B-antigens binding,mucin_glycan,yes,galactose and to blood group A/B-antigens,host glycan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,CBM52,CBM52,"β-1,3-glucan binding",beta-glucan,yes,"beta-1,3-glucan",beta-glucan,Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,CBM53,CBM53,starch binding; α-glucan binding,starch,yes,starch,starch,Largely agree,,,,,,,,,,,,,
"Plant,Animal,Fungi",Structural,DF,NSP,"Hemicellulose,Chitin",CBM54,CBM54,chitin binding; xylan binding,"xylan,chitin",yes,"xylan, yeast cell wall glucan and chitin","xylan, beta-glucan, chitin",Largely agree,,,,,,,,,,,,,
"Animal,Fungi",Structural,DF,NSP,Chitin,CBM55,CBM55,chitin binding,chitin,yes,chitin,chitin,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,CBM56,CBM56,"β-1,3-glucan binding",beta-glucan,yes,"beta-1,3-glucan",beta-glucan,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,CBM57,CBM57,"β-1,4-xylan binding; arabinoxylan binding","arabinoxylan,xylan",yes,glycosidases,glycosidases,"Disagree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,CBM58,CBM58,maltoheptaose binding,"starch,dextrin",yes,maltoheptaose,starch,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,"Mannans_and_Heteromannans,Cellulose,Hemicellulose",CBM59,CBM59,xylan binding; β-mannan binding; cellulose binding,"xylan,beta-mannan,cellulose",yes,"mannan, xylan, and cellulose","mannan, xylan, and cellulose",Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,"NSP,Resistant_oligosaccharides",Hemicellulose,CBM60,CBM60,xylan binding; XOS binding,xylan,yes,xylan,xylan,Largely agree,,,,,,,,,,,,,
"Algae,Plant,Bacteria",Structural,DF,"NSP,Resistant_oligosaccharides","Pectin,Gum",CBM61,CBM61,"β-1,4-galactan binding",galactan,yes,"beta-1,4-galactan",beta-galactan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Algae,Fungi",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Mannans_and_Heteromannans,Hemicellulose",CBM62,CBM62,xyloglucan binding; arabinogalactan binding; galactomannan binding,"xyloglucan,arabinogalactan,galactomannan",yes,"xyloglucan, arabinogalactan and galactomannan","xyloglucan, arabinogalactan and galactomannan",Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,Cellulose,CBM63,CBM63,cellulose binding,cellulose,yes,cellulose,cellulose,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,Cellulose,CBM64,CBM64,cellulose binding,cellulose,yes,cellulose,cellulose,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,CBM65,CBM65,β-glucan binding; xyloglucan binding,"beta-glucan,xyloglucan",yes,xyloglucan,xyloglucan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Plant,Storage,DF,NSP,Fructan,CBM66,CBM66,fructan binding,fructan,yes,fructan,fructan,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,CBM67,CBM67,L-rhamnose binding,rhamnogalacturonan,yes,L-rhamnose,rhamnose,Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,CBM68,CBM68,maltotriose and maltotetraose binding,"starch,dextrin",yes,maltotriose and maltotetraose,starch,Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,CBM69,CBM69,starch binding; α-glucan binding,starch,yes,starch,starch,Largely agree,,,,,,,,,,,,,
"Animal,Bacteria",Structural,GAG,Unknown,Unknown,CBM70,CBM70,hyaluronan-specific binding,hyaluronan,yes,hyaluronan,host glycan,Largely agree,,,,,,,,,,,,,
