ORIGIN,FUNCTION_IN_ORIGIN,FUNCTION_AT_DESTINATION_1,FUNCTION_AT_DESTINATION_2,FUNCTION_AT_DESTINATION_3,Family,Subfamily,Activity description,Glycan_annotation,Substrate annotation taken from characterized enzyme description CAZy.org,dbCAN3_Substrate_curated,dbCAN3_Substrate_high_level,Agreement,Comments,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_43,b-glucosidase (EC 3.2.1.21),"beta-glucan,xyloglucan,glucomannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH5,GH5_44,"exo-b-1,3-glucanase (EC 3.2.1.58)",beta-glucan,yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_45,b-glucosidase (EC 3.2.1.21);a-L-arabinofuranosidase (EC 3.2.1.55),"beta-glucan,xyloglucan,glucomannan,arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_46,"endo-b-1,4-glucanase (EC 3.2.1.4)","beta-glucan,xyloglucan,glucomannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_47,"endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,6-glucanase (EC 3.2.1.75)","beta-glucan,laminarin",yes,,,,,,,,,,,,,,,,
"Animal,Fungi",Structural,DF,NSP,Chitin,GH5,GH5_48,chitosanase (EC 3.2.1.132);b-N-acetylhexosaminidase (EC 3.2.1.52),chitosan,yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_49,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_50,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_51,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Cellulose,Mannans_and_Heteromannans",GH5,GH5_52,"exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74)","beta-glucan,xyloglucan,glucomannan,cellulose",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Cellulose,Mannans_and_Heteromannans",GH5,GH5_53,"exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74)","beta-glucan,xyloglucan,glucomannan,cellulose",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_54,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_55,"endo-b-1,4-glucanase (EC 3.2.1.4);endo-b-1,4-mannanase (EC 3.2.1.78)","beta-glucan,xyloglucan,glucomannan,galactomannan,beta-mannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_56,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Storage",DF,NSP,"Hemicellulose,Cellulose",GH6,GH6,"endoglucanase (EC 3.2.1.4); cellobiohydrolase (EC 3.2.1.91); lichenase / endo-β-1,3-1,4-glucanase (EC 3.2.1.73);","beta-glucan,cellulose,lichenin",yes,cellulose,cellulose,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal",Structural,DF,NSP,"Hemicellulose,Cellulose,Chitin",GH7,GH7,"endo-β-1,4-glucanase (EC 3.2.1.4); reducing end-acting cellobiohydrolase (EC 3.2.1.176); chitosanase (EC 3.2.1.132); endo-β-1,3-1,4-glucanase (EC 3.2.1.73)","beta-glucan,cellulose,chitosan",yes,"cellulose and similar substrates,cellulose, lichenin and cereal beta-glucan,beta-glucan, lichenin,chitosan","cellulose,chitosan",Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH8,GH8,"chitosanase (EC 3.2.1.132); cellulase (EC 3.2.1.4); licheninase (EC 3.2.1.73); endo-1,4-β-xylanase (EC 3.2.1.8); reducing-end-xylose releasing exo-oligoxylanase (EC 3.2.1.156); endo-β-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6)","beta-glucan,xylan,arabinoxylan,chitosan,cellulose,lichenin,laminarin",yes,"beta-glucan (laminarin, lichenin and cereal D-glucans),beta-glucan (lichenin and cereal beta-glucan),cellulose,chitosan,xylan","beta-glucan,cellulose,chitosan,xylan","Agree, in favor of our annotation with minor edit (see comments)","based on reported function, removal of xyloglucan and glucomannan",,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Cellulose,Mannans_and_Heteromannans",GH9,GH9,"endoglucanase (EC 3.2.1.4); endo-β-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6); lichenase / endo-β-1,3-1,4-glucanase (EC 3.2.1.73); exo-β-1,4-glucanase / cellodextrinase (EC 3.2.1.74); cellobiohydrolase (EC 3.2.1.91); xyloglucan-specific endo-β-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151); exo-β-glucosaminidase (EC 3.2.1.165); endo-β-1,4-glucanase (xanthanase) (EC 3.2.1.-)","beta-glucan,xyloglucan,glucomannan,cellulose,lichenin,laminarin,xanthan",yes,"xanthan,xyloglucan,beta-glucan(laminarin, lichenin and cereal D-glucans),beta-glucan, lichenin,cellulose,cellulose and cellotetraose,chitosan or chitosan oligosaccharides","beta-glucan,cellulose,chitosan","Agree, in favor of dbCAN with minor edit (see comments)","based on reported function, xanthan needed to be included",,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH10,GH10,"endo-1,4-β-xylanase (EC 3.2.1.8); endo-1,3-β-xylanase (EC 3.2.1.32); tomatinase (EC 3.2.1.-); xylan endotransglycosylase (EC 2.4.2.-); endo-β-1,4-glucanase (EC 3.2.1.4); [retaining] arabinoxylan-specific endo-β-1,4-xylanase (EC 3.2.1.-)","beta-glucan,xyloglucan,glucomannan,xylan,arabinoxylan",yes,"alpha-tomatine (glycoalkaloids),cellulose, xylan, beta-1,4-glucan,xylan,arabinoxylan","alkaloid,beta-glucan,xylan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Plant,Structural,DF,"NSP,Resistant_oligosaccharides",Hemicellulose,GH11,GH11,"endo-β-1,4-xylanase (EC 3.2.1.8); exo-1,4-β-xylosidase (EC 3.2.1.-)","xylan,arabinoxylan",yes,xylan,xylan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH12,GH12,"endoglucanase (EC 3.2.1.4); xyloglucan hydrolase (EC 3.2.1.151); β-1,3-1,4-glucanase (EC 3.2.1.73); xyloglucan endotransglycosylase (EC 2.4.1.207)","beta-glucan,xyloglucan,glucomannan",yes,"mixed-linkage glucan,cellulose, beta-glucan,xyloglucan","beta-glucan,cellulose,xyloglucan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Animal,Fungi,Bacteria,Plant,Algae","Storage,Structural","Glycogen,DF","Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13,"α-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-α-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); α-glucosidase (EC 3.2.1.20); maltotetraose-forming α-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming α-amylase (EC 3.2.1.98); maltotriose-forming α-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-α-glucanotransferase (EC 2.4.1.25); maltopentaose-forming α-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-α-1,6-glucosidase (EC 3.2.1.33); α-1,4-glucan: phosphate α-maltosyltransferase (EC 2.4.99.16); amino acid transporter; [retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329); [retaining] glucosylglycerol phosphorylase (EC 2.4.1.359); ; Glucosylglycerate phosphorylase (EC 2.4.1.352); [retaining] sucrose α-glucosidase (EC 3.2.1.48); oligosaccharide α-4-glucosyltransferase (EC 2.4.1.161); [retaining] α-amylase (EC 3.2.1.1);","starch,pullulan,dextrin,glycogen",yes,"starch, glycogen, and malto-oligosaccharides,cyclodextrin (alpha-1,4 glycosidic glucan from starch degradation),glucosylglycerate,glucosylglycerol,glycogen,starch,amylopectin (starch),pullulan (starch degradation by fungi),maltooligosaccharides,cyclomaltodextrins,starch, glycogen, and alpha-1,6 glucan,maltose,sucrose,Sucrose,sucrose 6(F)-phosphate,trehalose","alpha-glucan,glucosylglycerate,glucosylglycerol,glycogen,starch,sucrose,trehalose",Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_1,Hexosyltransferases (EC 2.4.1.-);[retaining] 4-a-glucanotransferase / amylomaltase (EC 2.4.1.25);[retaining] a-amylase (EC 3.2.1.1);[retaining] maltotriose-producing a-amylase (EC 3.2.1.116),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_2,[retaining] acarviosyltransferase (EC 2.4.1.-);[retaining] cyclomaltodextrin glucanotransferase (EC 2.4.1.19);[retaining] a-amylase (EC 3.2.1.1);[retaining] maltotriose-producing a-amylase (EC 3.2.1.116);[retaining] maltogenic a-amylase (EC 3.2.1.133),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_3,"a-1,4-glucan: phosphate a-maltosyltransferase (EC 2.4.99.16)",starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_4,[retaining] amylosucrase (EC 2.4.1.4);[retaining] sucrose a-glucosidase (EC 3.2.1.48),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_5,Hexosyltransferases (EC 2.4.1.-);[retaining] maltopentaose-producing a-amylase (EC 3.2.1.-);[retaining] a-amylase (EC 3.2.1.1);[retaining] maltotriose-producing a-amylase (EC 3.2.1.116);[retaining] maltohexaose-producing a-amylase (EC 3.2.1.98),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_6,[retaining] a-amylase (EC 3.2.1.1);[retaining] maltohexaose-producing a-amylase (EC 3.2.1.98),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_7,[retaining] a-amylase (EC 3.2.1.1),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_8,"[retaining] a-1,4-glucan branching enzyme (EC 2.4.1.18)",starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_9,"[retaining] a-1,4-glucan branching enzyme (EC 2.4.1.18)",starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_10,[retaining] a-amylase (EC 3.2.1.1);[retaining] maltooligosyltrehalose trehalohydrolase (EC 3.2.1.141),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_11,[retaining] 4-a-glucanotransferase / amylomaltase (EC 2.4.1.25);a-glycosidase (EC 3.2.1.-);[retaining] isoamylase (EC 3.2.1.68),starch,yes,,,,,,,,,,,,,,,,
"Fungi,Plant,Algae","Storage,Structural",DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_12,[retaining] pullulanase (EC 3.2.1.41);[retaining] isoamylase (EC 3.2.1.68),"starch,pullulan",yes,,,,,,,,,,,,,,,,
"Fungi,Plant,Algae","Storage,Structural",DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_13,[retaining] pullulanase (EC 3.2.1.41);[retaining] isoamylase (EC 3.2.1.68),"starch,pullulan",yes,,,,,,,,,,,,,,,,
"Fungi,Plant,Algae","Storage,Structural",DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_14,a-glycosidase (EC 3.2.1.-);[retaining] a-amylase (EC 3.2.1.1);[retaining] pullulanase (EC 3.2.1.41);[retaining] isoamylase (EC 3.2.1.68),"starch,pullulan",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_15,[retaining] a-amylase (EC 3.2.1.1),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_16,trehalose synthase / maltose glucosylmutase (EC 5.4.99.16),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_17,a-glucosidase (EC 3.2.1.20);[retaining] sucrose a-glucosidase (EC 3.2.1.48),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,Other,Unknown,Sucrose,GH13,GH13_18,[retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329);Glucosylglycerate phosphorylase (EC 2.4.1.352);[retaining] glucosylglycerol phosphorylase (EC 2.4.1.359);[retaining] sucrose phosphorylase (EC 2.4.1.7),sucrose,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_19,[retaining] maltopentaose-producing a-amylase (EC 3.2.1.-);[retaining] a-amylase (EC 3.2.1.1);[retaining] maltotetraose-producing a-amylase (EC 3.2.1.60);[retaining] maltohexaose-producing a-amylase (EC 3.2.1.98),starch,yes,,,,,,,,,,,,,,,,
"Fungi,Plant,Algae","Storage,Structural",DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_20,"[retaining] cyclic a-1,6-maltosyl-maltose hydrolase (EC 3.2.1.-);a-glycosidase hydrolyzing pullulan, starch and g-cyclodextrin (EC 3.2.1.-);[retaining] a-amylase (EC 3.2.1.1);[retaining] maltogenic a-amylase (EC 3.2.1.133);[retaining] neopullulanase (EC 3.2.1.135);[retaining] pullulanase (EC 3.2.1.41);[retaining] cyclomaltodextrinase (EC 3.2.1.54)","starch,pullulan,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_21,[retaining] a-amylase (EC 3.2.1.1);a-glucosidase (EC 3.2.1.20),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_22,"a-1,4-glucan synthase (EC 2.4.1.-);a-1,3-glucan synthase (EC 2.4.1.183)",starch,yes,,,,,,,,,,,,,,,,
